100000.0,1.0,138.47,51.655,97.827,27.98,3.064,41.928,197.76,1.582,1.396,32.638,1.017,0.381,51.626,2.273,-2.414,16.824,-0.277,258.733,113.497,
100001.0,-1.0,160.937,68.768,103.235,48.146,3.473,2.078,125.157,0.879,1.414,42.014,2.039,-3.011,36.918,0.501,0.103,44.704,-1.916,164.546,46.226,
100003.0,-1.0,143.905,81.417,80.943,0.414,3.31,0.414,75.968,2.354,-1.285,22.647,-1.655,0.01,53.321,-0.522,-3.1,31.082,0.06,86.062,0.0,
100004.0,-1.0,175.864,16.915,134.805,16.405,3.891,16.405,57.983,1.056,-1.385,28.209,-2.197,-2.231,29.774,0.798,1.569,2.723,-0.871,53.131,0.0,
100005.0,-1.0,89.744,13.55,59.149,116.344,1.362,61.619,278.876,0.588,0.479,53.651,0.371,1.329,31.565,-0.884,1.857,40.735,2.237,282.849,193.66,
100006.0,1.0,148.754,28.862,107.782,106.13,2.941,2.545,305.967,3.371,1.393,28.85,1.113,2.409,97.24,0.675,-0.966,38.421,-1.443,294.074,179.877,
100007.0,1.0,154.916,10.418,94.714,29.169,2.897,1.526,138.178,0.365,-1.305,78.8,0.654,1.547,28.74,0.506,-1.347,22.275,-1.761,187.299,30.638,
100008.0,-1.0,105.594,50.559,100.989,4.288,2.904,4.288,65.333,0.675,-1.366,39.008,2.433,-2.532,26.325,0.21,1.884,37.791,0.024,129.804,0.0,
100009.0,1.0,128.053,88.941,69.272,193.392,1.609,28.859,255.123,0.599,0.538,54.646,-1.533,0.416,32.742,-0.317,-0.636,132.678,0.845,294.741,167.735,
100011.0,-1.0,114.744,10.286,75.712,30.816,2.888,36.745,239.804,1.061,1.364,35.976,-0.669,-0.342,38.188,-0.165,2.502,22.385,2.148,290.547,165.64,
100012.0,-1.0,145.297,64.234,103.565,106.999,2.183,24.66,192.245,0.576,0.689,62.89,-0.766,-1.632,36.237,0.722,-0.035,43.91,-1.907,232.362,93.117,
100013.0,-1.0,82.488,31.663,64.128,8.232,2.823,8.232,58.649,1.303,-1.414,25.47,-0.654,-2.99,33.179,-1.665,-0.354,12.439,1.433,163.42,0.0,
100015.0,1.0,111.026,32.096,75.271,23.067,3.205,23.067,69.649,1.276,-1.414,30.606,-1.107,-1.903,39.043,-1.944,1.191,19.959,2.415,122.176,0.0,
100016.0,-1.0,114.256,4.351,67.963,47.221,2.954,26.243,100.93,1.145,0.218,30.145,0.484,-0.929,34.522,-0.215,1.941,41.899,2.055,191.568,36.263,
100017.0,1.0,127.861,50.953,77.267,26.967,2.833,26.967,79.503,1.586,1.401,30.739,-0.635,2.603,48.764,-0.343,-0.862,17.557,-2.975,211.72,0.0,
100021.0,-1.0,90.736,18.674,60.231,25.156,2.363,25.156,64.833,0.749,-0.8,37.06,1.537,-2.616,27.773,1.161,1.335,27.431,0.645,169.061,0.0,
100022.0,-1.0,87.075,38.217,67.041,2.347,2.852,2.347,65.281,1.276,-1.409,28.688,1.739,-2.975,36.594,2.367,-0.193,12.556,2.008,68.527,0.0,
100023.0,1.0,141.481,0.736,111.581,174.075,1.335,6.663,440.859,0.652,1.042,98.565,0.19,-1.506,64.285,1.405,-0.952,17.96,-0.973,454.785,278.009,
100024.0,-1.0,110.785,72.927,82.775,30.888,3.032,30.888,77.888,2.581,1.353,21.751,-0.709,-1.088,56.137,0.531,1.679,27.318,-0.716,253.577,0.0,
100025.0,-1.0,76.883,34.384,56.993,5.569,2.912,5.569,58.116,1.492,-1.409,23.319,-0.081,-0.338,34.797,-0.321,2.564,10.098,-1.397,93.086,0.0,
100026.0,1.0,137.197,68.009,78.296,35.332,2.883,0.204,115.081,1.295,1.403,34.657,1.587,-2.231,44.897,1.664,1.17,32.07,-2.891,82.224,35.527,
100027.0,1.0,111.271,27.18,70.642,144.766,1.795,0.367,309.992,2.848,1.306,24.899,-0.089,-2.342,70.923,-0.98,-0.783,69.364,-1.173,289.876,214.17,
100028.0,1.0,118.104,2.633,77.31,91.388,1.976,21.536,159.743,1.172,1.061,37.999,-0.214,-2.678,44.523,-1.354,-1.064,39.141,-1.127,175.843,77.221,
100029.0,-1.0,98.761,14.024,74.23,132.806,1.261,23.29,239.33,1.541,1.306,49.624,-1.093,1.995,76.454,-0.595,0.836,26.438,1.15,357.815,113.252,
100031.0,1.0,121.681,6.041,73.202,198.114,1.148,31.017,412.518,0.262,0.838,126.071,0.953,2.492,32.986,0.231,-2.899,65.09,-2.769,515.415,253.461,
100032.0,1.0,129.186,64.045,69.499,63.165,2.745,6.58,203.08,0.769,1.355,37.764,0.215,0.74,29.054,-0.575,-2.914,45.253,1.204,199.861,136.262,
100033.0,-1.0,123.112,62.758,86.702,39.901,2.825,9.732,184.194,2.089,1.337,26.075,-0.175,-0.782,54.476,1.026,2.944,23.618,-1.209,309.43,103.642,
100034.0,-1.0,156.894,39.256,122.894,71.682,2.387,29.365,148.381,1.11,0.655,48.605,-2.123,-3.018,53.933,-0.456,-1.308,10.096,2.976,195.864,45.843,
100035.0,-1.0,72.712,20.762,50.255,39.263,2.186,21.817,103.596,1.269,1.414,25.085,-0.251,3.006,31.832,-0.357,0.823,12.563,1.915,152.875,46.679,
100036.0,1.0,134.153,23.856,100.96,9.377,2.846,9.377,101.789,0.759,-1.405,57.869,-0.428,0.614,43.919,-0.1,-2.842,11.797,-1.739,241.281,0.0,
100037.0,1.0,155.487,61.072,125.013,2.768,2.908,2.768,123.704,1.176,-1.408,56.845,-0.935,2.009,66.859,-1.357,-1.397,16.589,0.923,95.267,0.0,
100038.0,1.0,138.362,38.034,99.038,65.021,2.605,97.25,403.267,1.875,0.023,21.326,1.459,-1.615,39.994,-1.133,-1.869,18.093,-0.299,453.69,341.947,
100039.0,1.0,120.506,22.729,88.889,35.999,2.465,32.706,294.349,1.448,1.171,39.107,-1.081,1.431,56.61,-1.185,-1.032,2.713,1.29,243.867,198.632,
100040.0,1.0,109.684,42.664,86.064,0.23,2.745,0.23,82.944,0.939,-1.414,42.787,-1.942,-0.574,40.158,-1.218,2.074,20.195,-2.516,59.902,0.0,
100041.0,-1.0,90.833,62.236,53.228,21.581,2.629,21.581,55.182,1.445,-0.797,22.566,1.645,-2.03,32.616,1.287,0.574,29.74,-2.484,70.266,0.0,
